_id,company_address,company_name,name,salary,site_scraping,vacancy_link
5f5b8ffb5007de8d97a4ee3c,Пушкино (Московская область),"ООО  АНТРАКС, МНПП",Инженер – программист / Специалист по нейросетям,з/п не указана,hh.ru,https://hh.ru/vacancy/38972210?query=Python
5f5b8ffe5007de8d97a4ee3d,Ивантеевка,"ООО  АНТРАКС, МНПП",Инженер – программист / Специалист по нейросетям,з/п не указана,hh.ru,https://hh.ru/vacancy/38972209?query=Python
5f5b90025007de8d97a4ee40,Химки,ООО  ФК ПУЛЬС,Архитектор высоконагруженных проектов,з/п не указана,hh.ru,https://hh.ru/vacancy/39061500?query=Python
5f5b90045007de8d97a4ee41,Зеленоград,АО  Дизайн Центр Союз,Инженер-верификатор аналого-цифровых СБИС,от  80000   руб.  до вычета налогов,hh.ru,https://hh.ru/vacancy/39068690?query=Python
5f5b90085007de8d97a4ee43,Жуковский,"АО  Динамика, ЦНТУ",Ведущий инженер-программист (г. Жуковский),от  95000   руб.  до вычета налогов,hh.ru,https://hh.ru/vacancy/39058118?query=Python
5f5b900c5007de8d97a4ee45,Химки,ООО  ФК ПУЛЬС,Специалист по тестированию,з/п не указана,hh.ru,https://hh.ru/vacancy/37348604?query=Python
5f5b90105007de8d97a4ee47,Химки,ООО  ФК ПУЛЬС,DevOps,з/п не указана,hh.ru,https://hh.ru/vacancy/38262586?query=Python
5f5b90135007de8d97a4ee49,,ООО  Альта-Транс,Инженер-конструктор мехатронных модулей,от  40000  до  90000   руб.  на руки,hh.ru,https://hh.ru/vacancy/39170695?query=Python
5f5b90155007de8d97a4ee4b,Дубна,АДВ,Junior Web - Analyst / Младший веб - аналитик,з/п не указана,hh.ru,https://hh.ru/vacancy/39070994?query=Python
5f5b90195007de8d97a4ee4d,Мытищи,ЧУ ДО Московская школа программистов,Product manager,от  100000  до  110000   руб.  на руки,hh.ru,https://hh.ru/vacancy/39151532?query=Python
